time	raw	delta	theta	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	middleGamma	heartrate
1181	138									
1203	135									
1205	132									
1207	128									
1209	122									
1211	120									
1213	117									
1217	114									
1220	112									
1222	107									
1224	104									
1226	102									
1227	100									
1228	97									
1229	92									
1237	90									
1239	88									
1240	86									
1241	84									
1241	83									
1242	82									
1243	80									
1244	76									
1245	74									
1246	73									
1246	72									
1247	70									
1249	69									
1249	67									
1250	66									
1251	65									
1252	64									
1252	60									
1255	59									
1256	59									
1257	57									
1258	56									
1258	56									
1259	55									
1260	54									
1260	53									
1261	52									
1268	51									
1269	51									
1269	50									
1270	49									
1271	48									
1272	48									
1274	48									
1283	44									
1285	44									
1285	44									
1286	43									
1287	43									
1288	42									
1288	42									
1300	41									
1300	41									
1301	41									
1302	40									
1303	40									
1303	39									
1304	39									
1305	38									
1306	38									
1316	38									
1317	38									
1317	37									
1318	37									
1319	37									
1319	37									
1320	36									
1321	36									
1322	36									
1333	35									
1334	35									
1334	35									
1335	35									
1336	35									
1336	35									
1337	35									
1338	34									
1349	34									
1350	34									
1350	34									
1351	34									
1352	34									
1352	33									
1353	34									
1353	33									
1366	33									
1367	33									
1367	33									
1368	32									
1369	32									
1370	32									
1370	32									
1371	32									
1372	32									
1383	32									
1383	32									
1384	29									
1385	32									
1386	29									
1387	29									
1387	32									
1388	29									
1399	29									
1400	29									
1401	32									
1402	32									
1403	29									
1403	29									
1404	28									
1405	28									
1406	28									
1416	28									
1417	28									
1417	28									
1418	28									
1419	28									
1419	28									
1420	28									
1421	28									
1421	28									
1433	28									
1449	28									
1450	28									
1450	28									
1451	28									
1452	28									
1453	27									
1453	28									
1454	27									
1455	28									
1456	28									
1456	28									
1457	27									
1457	28									
1458	28									
1459	28									
1466	28									
1467	28									
1467	27									
1468	28									
1469	27									
1470	28									
1471	28									
1472	28									
1473	27									
1483	27									
1484	28									
1485	27									
1486	27									
1486	28									
1487	27									
1488	27									
1489	28									
1490	27									
1500	27									
1501	27									
1501	28									
1503	27									
1503	28									
1504	27									
1505	27									
1506	27									
1516	27									
1516	27									
1517	28									
1518	27									
1519	27									
1519	27									
1520	27									
1521	27									
1532	27									
1533	27									
1534	27									
1534	27									
1535	27									
1536	27									
1537	27									
1537	27									
1538	27									
1549	26									
1550	26									
1550	27									
1551	27									
1552	27									
1552	27									
1553	27									
1554	27									
1555	27									
1566	27									
1566	27									
1567	27									
1568	27									
1569	27									
1569	27									
1570	27									
1571	27									
1582	27									
1583	27									
1584	27									
1585	27									
1585	27									
1586	27									
1587	27									
1587	27									
1599	27									
1600	27									
1600	27									
1601	27									
1604	27									
1605	27									
1605	27									
1606	27									
1607	27									
1616	27									
1617	27									
1617	27									
1618	27									
1619	27									
1621	27									
1622	27									
1623	27									
1623	27									
1642	27									
1648	27									
1649	27									
1664	26									
1665	27									
1666	27									
1666	27									
1667	27									
1667	27									
1668	27									
1668	27									
1669	27									
1670	27									
1670	27									
1671	27									
1672	27									
1672	27									
1673	26									
1673	26									
1674	26									
1674	27									
1675	26									
1675	27									
1681	27									
1682	27									
1683	27									
1683	27									
1684	27									
1684	27									
1686	27									
1686	27									
1687	27									
1687	27									
1698	27									
1698	27									
1699	27									
1699	27									
1700	27									
1701	27									
1701	27									
2867	92									
2878	90									
2879	88									
2883	86									
2886	84									
2888	82									
2890	81									
2892	77									
2894	75									
2901	73									
2902	72									
2903	71									
2904	69									
2905	68									
2906	67									
2908	65									
2909	65									
2909	61									
2910	60									
2920	59									
2930	58									
2931	57									
2933	56									
2934	55									
2934	54									
2935	53									
2936	53									
2937	52									
2938	51									
2938	50									
2939	49									
2940	49									
2942	48									
2943	48									
2945	45									
2949	44									
2950	44									
2950	43									
2951	42									
2953	43									
2953	42									
2954	41									
2955	41									
2956	41									
2956	40									
2957	40									
2961	40									
2962	39									
2963	38									
2963	38									
2964	38									
2965	38									
2966	37									
2976	37									
2977	36									
2978	36									
2978	36									
2979	36									
2979	36									
2980	36									
2994	35									
2995	36									
2995	35									
2996	35									
2997	35									
2997	34									
2998	35									
2998	34									
2999	34									
3010	34									
3011	33									
3011	33									
3012	33									
3013	33									
3014	33									
3015	33									
3016	33									
3016	33									
3026	33									
3027	32									
3027	32									
3028	33									
3028	32									
3029	32									
3029	33									
3030	32									
3044	32									
3045	32									
3045	29									
3046	29									
3047	29									
3047	29									
3048	29									
3049	29									
3050	29									
3061	29									
3066	29									
3067	28									
3068	28									
3069	28									
3069	28									
3070	29									
3071	28									
3078	28									
3081	28									
3082	28									
3082	28									
3083	28									
3084	28									
3085	28									
3085	28									
3086	28									
3094	28									
3095	28									
3095	28									
3096	28									
3097	27									
3097	28									
3098	28									
3098	28									
3109	27									
3111	27									
3111	27									
3112	28									
3113	27									
3114	27									
3115	27									
3115	28									
3126	27									
3127	27									
3127	28									
3128	28									
3128	28									
3129	27									
3129	28									
3130	28									
3131	27									
3144	27									
3146	28									
3146	27									
3147	28									
3148	28									
3148	27									
3149	27									
3150	27									
3150	27									
3159	27									
3160	27									
3161	27									
3161	27									
3162	27									
3162	27									
3163	28									
3164	28									
3175	28									
3176	28									
3177	27									
3177	28									
3178	27									
3179	27									
3179	27									
3180	27									
3192	27									
3193	27									
3194	27									
3195	28									
3197	28									
3198	27									
3199	27									
3200	27									
3200	27									
3208	27									
3209	28									
3209	27									
3210	27									
3211	27									
3211	27									
3212	27									
3213	27									
3225	27									
3226	27									
3227	27									
3227	27									
3228	27									
3228	28									
3229	27									
3230	27									
3230	27									
3242	27									
3243	28									
3244	27									
3245	27									
3245	27									
3246	27									
3247	27									
3247	27									
3248	28									
3258	27									
3259	27									
3259	27									
3260	27									
3261	27									
3261	27									
3262	27									
3276	27									
3276	27									
3277	27									
3278	27									
3278	27									
3279	27									
3280	28									
3281	27									
3282	27									
3292	27									
3293	27									
3294	27									
3295	27									
3295	27									
3296	27									
3297	27									
3298	28									
3299	27									
3308	28									
3309	28									
3310	27									
3311	27									
3311	27									
3312	27									
3313	27									
3314	27									
3315	27									
3326	27									
3326	27									
3327	28									
3328	27									
3329	27									
3329	27									
3330	27									
3331	26									
3343	27									
3344	27									
3345	27									
3345	27									
3346	27									
3347	27									
3347	27									
3348	27									
3349	27									
3359	27									
3360	27									
3360	27									
3361	27									
3362	27									
3363	27									
3363	27									
3364	27									
3376	27									
3377	27									
3378	27									
3378	27									
3379	27									
3381	27									
3382	27									
3382	27									
3384	27									
3392	27									
3393	27									
3394	27									
3395	27									
3396	27									
3397	27									
3397	27									
3398	28									
3408	27									
3409	27									
3409	28									
3410	27									
3411	27									
3412	27									
3413	27									
3414	27									
3415	27									
3426	27									
3426	27									
3427	27									
3427	27									
3428	27									
3429	27									
3429	27									
3430	27									
3430	27									
3441	27									
3441	27									
3442	27									
3442	27									
3443	27									
3443	27									
3444	27									
3458	27									
3458	27									
3459	27									
3459	27									
3460	27									
3460	27									
3461	27									
3462	27									
3474	27									
3475	27									
3476	27									
3476	27									
3477	27									
3478	27									
3478	27									
3479	27									
3480	27									
3491	27									
3491	27									
3492	27									
3493	27									
3493	27									
3494	27									
3495	27									
3495	27									
3507	27									
3508	27									
3509	27									
3509	27									
3510	27									
3510	27									
3511	27									
3512	27									
3513	27									
3525	27									
3525	27									
3526	27									
3527	27									
3527	27									
3528	27									
3529	27									
3529	27									
3530	27									
3543	27									
3544	27									
3546	27									
3547	27									
3547	27									
3548	27									
3549	27									
3550	27									
3551	27									
3551	27									
3558	27									
3558	27									
3559	27									
3560	27									
3560	27									
3561	27									
3562	27									
3574	27									
3575	27									
3575	27									
3576	27									
3577	27									
3577	27									
3578	27									
3579	27									
3590	27									
3590	27									
3591	28									
3592	27									
3592	27									
3593	27									
3594	27									
3595	27									
3596	27									
3607	28									
3608	27									
3663	27									
3674	27									
3730	27									
3802	27									
3803	27									
3805	27									
3811	27									
3812	27									
3813	27									
3815	27									
3816	27									
3817	27									
3818	27									
3819	27									
3820	27									
3821	27									
3821	27									
3822	27									
3823	27									
3824	27									
3825	27									
3826	27									
3827	27									
3827	27									
3828	27									
3829	27									
3829	27									
3830	27									
3831	27									
3832	27									
3833	27									
3834	27									
3834	27									
3835	27									
3836	27									
3837	27									
3837	27									
3838	27									
3870	27									
3871	27									
3872	27									
3872	27									
3873	27									
3873	27									
3874	27									
3875	27									
3875	27									
3876	27									
3876	27									
3877	27									
3877	27									
3878	27									
3878	27									
3879	27									
3879	27									
3880	27									
3880	27									
3881	27									
3881	27									
3882	27									
3882	27									
3883	27									
3883	27									
3884	27									
3885	27									
3885	27									
3886	27									
3887	27									
3888	27									
3888	27									
3889	27									
3935	27									
3955	27									
3956	27									
3957	27									
3958	27									
3958	27									
3959	27									
3960	27									
3961	27									
3961	27									
3962	27									
3963	27									
3964	27									
3965	27									
3966	27									
3966	27									
3967	27									
3968	27									
3968	27									
3969	27									
3970	27									
3971	27									
3971	27									
3972	27									
3973	27									
3974	27									
3975	27									
3975	27									
3976	27									
3977	27									
3977	27									
3978	27									
3979	27									
3979	26									
3980	27									
3980	27									
4005	27									
4006	27									
4007	27									
4008	27									
4008	27									
4009	27									
4009	27									
4010	27									
4011	27									
4011	26									
4012	26									
4013	26									
4013	27									
4014	27									
4015	27									
4016	27									
4016	27									
4017	27									
4018	27									
4018	27									
4019	27									
4020	27									
4021	27									
4022	27									
4022	27									
4023	27									
4024	27									
4025	null	6521	2309	956	591	339	191	68	42	
4025	26	null	null	null	null	null	null	null	null	
4026	27	null	null	null	null	null	null	null	null	
4027	27	null	null	null	null	null	null	null	null	
4027	27	null	null	null	null	null	null	null	null	
4028	27	null	null	null	null	null	null	null	null	
4072	27	null	null	null	null	null	null	null	null	
4073	27	null	null	null	null	null	null	null	null	
4074	27	null	null	null	null	null	null	null	null	
4074	27	null	null	null	null	null	null	null	null	
4075	27	null	null	null	null	null	null	null	null	
4076	27	null	null	null	null	null	null	null	null	
4076	27	null	null	null	null	null	null	null	null	
4077	27	null	null	null	null	null	null	null	null	
4078	27	null	null	null	null	null	null	null	null	
4078	27	null	null	null	null	null	null	null	null	
4079	27	null	null	null	null	null	null	null	null	
4079	26	null	null	null	null	null	null	null	null	
4079	27	null	null	null	null	null	null	null	null	
4080	27	null	null	null	null	null	null	null	null	
4080	27	null	null	null	null	null	null	null	null	
4081	27	null	null	null	null	null	null	null	null	
4082	27	null	null	null	null	null	null	null	null	
4082	27	null	null	null	null	null	null	null	null	
4083	27	null	null	null	null	null	null	null	null	
4084	27	null	null	null	null	null	null	null	null	
4085	27	null	null	null	null	null	null	null	null	
4086	27	null	null	null	null	null	null	null	null	
4087	27	null	null	null	null	null	null	null	null	
4088	27	null	null	null	null	null	null	null	null	
4088	27	null	null	null	null	null	null	null	null	
4089	27	null	null	null	null	null	null	null	null	
4090	27	null	null	null	null	null	null	null	null	
4090	27	null	null	null	null	null	null	null	null	
4091	27	null	null	null	null	null	null	null	null	
4091	27	null	null	null	null	null	null	null	null	
4092	27	null	null	null	null	null	null	null	null	
4093	27	null	null	null	null	null	null	null	null	
4093	27	null	null	null	null	null	null	null	null	
4094	27	null	null	null	null	null	null	null	null	
4095	27	null	null	null	null	null	null	null	null	
4095	27	null	null	null	null	null	null	null	null	
4137	27	null	null	null	null	null	null	null	null	
4155	27	null	null	null	null	null	null	null	null	
4155	27	null	null	null	null	null	null	null	null	
4156	27	null	null	null	null	null	null	null	null	
4157	27	null	null	null	null	null	null	null	null	
4157	27	null	null	null	null	null	null	null	null	
4158	27	null	null	null	null	null	null	null	null	
4159	27	null	null	null	null	null	null	null	null	
4160	27	null	null	null	null	null	null	null	null	
4161	27	null	null	null	null	null	null	null	null	
4161	27	null	null	null	null	null	null	null	null	
4162	27	null	null	null	null	null	null	null	null	
4162	27	null	null	null	null	null	null	null	null	
4163	27	null	null	null	null	null	null	null	null	
4164	27	null	null	null	null	null	null	null	null	
4164	27	null	null	null	null	null	null	null	null	
4165	27	null	null	null	null	null	null	null	null	
4165	27	null	null	null	null	null	null	null	null	
4166	27	null	null	null	null	null	null	null	null	
4167	27	null	null	null	null	null	null	null	null	
4167	27	null	null	null	null	null	null	null	null	
4168	27	null	null	null	null	null	null	null	null	
4169	27	null	null	null	null	null	null	null	null	
4169	27	null	null	null	null	null	null	null	null	
4170	27	null	null	null	null	null	null	null	null	
4171	27	null	null	null	null	null	null	null	null	
4171	27	null	null	null	null	null	null	null	null	
4172	27	null	null	null	null	null	null	null	null	
4175	28	null	null	null	null	null	null	null	null	
4176	27	null	null	null	null	null	null	null	null	
4177	27	null	null	null	null	null	null	null	null	
4177	27	null	null	null	null	null	null	null	null	
4178	27	null	null	null	null	null	null	null	null	
4178	27	null	null	null	null	null	null	null	null	
4179	27	null	null	null	null	null	null	null	null	
4180	27	null	null	null	null	null	null	null	null	
4180	27	null	null	null	null	null	null	null	null	
4181	27	null	null	null	null	null	null	null	null	
4181	27	null	null	null	null	null	null	null	null	
4182	27	null	null	null	null	null	null	null	null	
4182	27	null	null	null	null	null	null	null	null	
4183	27	null	null	null	null	null	null	null	null	
4205	27	null	null	null	null	null	null	null	null	
4205	27	null	null	null	null	null	null	null	null	
4205	27	null	null	null	null	null	null	null	null	
4205	27	null	null	null	null	null	null	null	null	
4205	27	null	null	null	null	null	null	null	null	
4205	27	null	null	null	null	null	null	null	null	
4206	27	null	null	null	null	null	null	null	null	
4206	27	null	null	null	null	null	null	null	null	
4206	26	null	null	null	null	null	null	null	null	
4206	27	null	null	null	null	null	null	null	null	
4206	27	null	null	null	null	null	null	null	null	
4206	27	null	null	null	null	null	null	null	null	
4206	27	null	null	null	null	null	null	null	null	
4206	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4207	27	null	null	null	null	null	null	null	null	
4208	27	null	null	null	null	null	null	null	null	
4208	27	null	null	null	null	null	null	null	null	
4208	27	null	null	null	null	null	null	null	null	
4271	27	null	null	null	null	null	null	null	null	
4287	27	null	null	null	null	null	null	null	null	
4288	27	null	null	null	null	null	null	null	null	
4288	27	null	null	null	null	null	null	null	null	
4289	27	null	null	null	null	null	null	null	null	
4289	27	null	null	null	null	null	null	null	null	
4289	27	null	null	null	null	null	null	null	null	
4290	27	null	null	null	null	null	null	null	null	
4290	27	null	null	null	null	null	null	null	null	
4291	27	null	null	null	null	null	null	null	null	
4291	27	null	null	null	null	null	null	null	null	
4292	27	null	null	null	null	null	null	null	null	
4292	27	null	null	null	null	null	null	null	null	
4293	27	null	null	null	null	null	null	null	null	
4294	27	null	null	null	null	null	null	null	null	
4294	27	null	null	null	null	null	null	null	null	
4295	27	null	null	null	null	null	null	null	null	
4296	27	null	null	null	null	null	null	null	null	
4296	27	null	null	null	null	null	null	null	null	
4297	27	null	null	null	null	null	null	null	null	
4297	27	null	null	null	null	null	null	null	null	
4298	27	null	null	null	null	null	null	null	null	
4298	28	null	null	null	null	null	null	null	null	
4299	28	null	null	null	null	null	null	null	null	
4299	28	null	null	null	null	null	null	null	null	
4300	27	null	null	null	null	null	null	null	null	
4300	28	null	null	null	null	null	null	null	null	
4301	27	null	null	null	null	null	null	null	null	
4301	27	null	null	null	null	null	null	null	null	
4302	28	null	null	null	null	null	null	null	null	
4302	28	null	null	null	null	null	null	null	null	
4303	28	null	null	null	null	null	null	null	null	
4303	27	null	null	null	null	null	null	null	null	
4304	27	null	null	null	null	null	null	null	null	
4304	27	null	null	null	null	null	null	null	null	
4307	27	null	null	null	null	null	null	null	null	
4308	27	null	null	null	null	null	null	null	null	
4308	27	null	null	null	null	null	null	null	null	
4309	27	null	null	null	null	null	null	null	null	
4309	27	null	null	null	null	null	null	null	null	
4310	27	null	null	null	null	null	null	null	null	
4310	27	null	null	null	null	null	null	null	null	
4311	27	null	null	null	null	null	null	null	null	
4311	27	null	null	null	null	null	null	null	null	
4312	27	null	null	null	null	null	null	null	null	
4312	27	null	null	null	null	null	null	null	null	
4313	27	null	null	null	null	null	null	null	null	
4313	27	null	null	null	null	null	null	null	null	
4314	27	null	null	null	null	null	null	null	null	
4315	28	null	null	null	null	null	null	null	null	
4315	27	null	null	null	null	null	null	null	null	
4316	27	null	null	null	null	null	null	null	null	
4316	27	null	null	null	null	null	null	null	null	
4317	27	null	null	null	null	null	null	null	null	
4317	27	null	null	null	null	null	null	null	null	
4317	27	null	null	null	null	null	null	null	null	
4317	27	null	null	null	null	null	null	null	null	
4317	27	null	null	null	null	null	null	null	null	
4317	27	null	null	null	null	null	null	null	null	
4318	27	null	null	null	null	null	null	null	null	
4318	28	null	null	null	null	null	null	null	null	
4318	27	null	null	null	null	null	null	null	null	
4318	27	null	null	null	null	null	null	null	null	
4318	28	null	null	null	null	null	null	null	null	
4318	27	null	null	null	null	null	null	null	null	
4318	27	null	null	null	null	null	null	null	null	
4318	27	null	null	null	null	null	null	null	null	
