classification	mw_mean	mw_std	mw_cf	mw_kts	hr_mean	hr_std	hr_max	hr_min	hr_cf	hr_kts
1	31.95263157894737	75.77957449127595	9.642440600492458	16.664505895023428	68.83849000000001	0.0	68.83849000000001	68.83849000000001	1.0	0
1	34.16890080428954	69.91292348482365	10.19070561136798	19.577881568935783	68.56374666666666	0.398671598380869	68.85275	68.0	1.004198128470353	1.4999999999999334
1	33.63577498988264	90.65444461026982	8.201188960529961	19.059606114833894	68.42281	0.4228400578824121	68.85275	68.0	1.006264362601344	1.0005686047706481
1	34.56280864197531	85.8170682511506	8.571517030952695	18.38124851794048	68.338248	0.41429204556206667	68.85275	68.0	1.007510242046894	1.1674564235829288
1	33.16217564870259	97.52380279825341	7.698440642870315	14.32184135981992	68.24160571428571	0.38203118690409066	68.85275	68.0	1.00893978653749	1.9011145366497935
1	29.413569576490925	74.39317520903133	10.812920197472438	22.272346001523374	81.103134	0.0	81.103134	81.103134	1.0	0
1	30.469864698646987	68.820469970377	11.492878355003485	22.448372968683998	80.52009133333333	0.5118035484215472	81.103134	79.85714	1.0072206124007932	1.4999999999999918
1	30.408977035490604	149.09185341421545	8.918162864240667	28.7515156437045	80.2025685	0.7063422705719568	81.103134	79.25	1.0111894220352229	1.5268801324346164
1	31.9663623258049	135.1593117549609	9.770459661491628	32.62743789117951	79.093379	1.8502497027748253	81.103134	75.5	1.0251294426552386	2.688364885898814
1	31.55754800966552	143.71635043325784	9.222490300265276	21.52260426758961	77.35128424999999	3.462463945790112	81.103134	71.0	1.04745516505484	1.9868358000034119
1	32.57331347095127	135.97283763959172	9.705335201354837	22.54206306355389	76.42336377777777	4.18866026853121	81.103134	69.0	1.0596444255136621	1.8054697032333573
1	202.69326542161858	456.90087377962817	4.095286381534928	9.690089061041014	75.94792	0.0	75.94792	75.94792	1.0	0
1	193.4887298747764	448.9825589542174	4.186950149147494	10.460329202382669	75.69125133333333	0.3709676925244155	75.95917	75.166664	1.0035275727692836	1.4999999999999634
1	140.27895708352563	368.67541551829555	5.189355200756297	16.933369144176606	75.5147508	0.36816962766985517	75.95917	75.125	1.0058732423813455	1.2230035847661782
1	110.44107629427793	321.8726709162573	6.01540640409773	23.13962097030955	75.54625057142857	0.3221265272027024	75.95917	75.125	1.0054566429586234	1.4586411113152689
1	94.4011337562424	290.7862101850895	6.695544746807919	28.62957854641674	75.64708377777778	0.34101638361221104	76.0	75.125	1.004655090203202	1.4979953397302839
1	83.51726480244538	270.423434822757	7.232539744163094	32.98430763963234	75.71125036363637	0.3371590434922296	76.0	75.125	1.0038038740734707	1.7980064206220445
1	75.69943686169705	249.59366358245808	7.848305522653523	39.03908125500702	75.79413492307692	0.36929066262653887	76.375	75.125	1.0076517603144346	2.1844385931940042
1	70.32739680426099	235.60230843117154	8.325377198696147	43.43930115089609	75.9215836	0.47524318878945926	76.875	75.125	1.0125380727069753	2.5672737723972405
1	66.08580492843441	223.64530106459688	8.777686299839692	47.92284403759168	76.07786788235295	0.6199264844204262	77.375	75.125	1.0170162947176606	2.5553587782412177
1	63.18861540502886	213.64490727666472	9.187879897750221	52.11859627240093	76.28019757894737	0.840609907729427	78.375	75.125	1.0273995604494779	3.067294183247352
1	59.97865005443329	205.10794148050135	9.578952040087742	56.36683125425085	76.5630359047619	1.1854350271027454	79.5	75.125	1.0382356396850254	3.2498184642486736
1	57.43950658075885	197.606019533258	9.947278633547214	59.95134708566607	76.86190234782609	1.4902792004078387	80.0	75.125	1.040632151771293	2.6450944935428145
1	55.6831150370596	190.7727300789712	10.300247069721959	63.8932302645973	77.11295016	1.6637442933106683	80.0	75.125	1.037197855640786	2.0152288820100157
1	53.99557251189299	185.25005290385624	10.608481448195526	66.98652556027469	77.3268057037037	1.77050335141375	80.0	75.125	1.03429900871338	1.6492381762134254
1	52.62951899846255	180.4685588703822	10.889104015865115	69.6145540381642	77.51116393103449	1.8377525811564426	80.0	75.125	1.0318194149563935	1.4399136075605248
